"deployment_date","new_deployers","returning_deployers"
"2024-10-26 00:00:00.000 UTC",8700,1964
"2024-10-27 00:00:00.000 UTC",12944,3157
"2024-10-28 00:00:00.000 UTC",14545,3890
"2024-10-29 00:00:00.000 UTC",17039,4832
"2024-10-30 00:00:00.000 UTC",14442,4372
"2024-10-31 00:00:00.000 UTC",13197,4229
"2024-11-01 00:00:00.000 UTC",11242,3718
"2024-11-02 00:00:00.000 UTC",8938,3623
"2024-11-03 00:00:00.000 UTC",8502,3759
"2024-11-04 00:00:00.000 UTC",10885,4278
"2024-11-05 00:00:00.000 UTC",11885,4506
"2024-11-06 00:00:00.000 UTC",15124,5624
"2024-11-07 00:00:00.000 UTC",14405,4828
"2024-11-08 00:00:00.000 UTC",14341,4619
"2024-11-09 00:00:00.000 UTC",10726,3805
"2024-11-10 00:00:00.000 UTC",13511,4372
"2024-11-11 00:00:00.000 UTC",17154,5279
"2024-11-12 00:00:00.000 UTC",17060,5226
"2024-11-13 00:00:00.000 UTC",16410,5723
"2024-11-14 00:00:00.000 UTC",17212,6459
"2024-11-15 00:00:00.000 UTC",17463,6773
"2024-11-16 00:00:00.000 UTC",15698,6322
"2024-11-17 00:00:00.000 UTC",18782,7142
"2024-11-18 00:00:00.000 UTC",21747,8252
"2024-11-19 00:00:00.000 UTC",20048,7747
"2024-11-20 00:00:00.000 UTC",28628,11535
"2024-11-21 00:00:00.000 UTC",27626,12362
"2024-11-22 00:00:00.000 UTC",24463,10663
"2024-11-23 00:00:00.000 UTC",25404,9860
"2024-11-24 00:00:00.000 UTC",22160,9687
"2024-11-25 00:00:00.000 UTC",24795,9656
"2024-11-26 00:00:00.000 UTC",22227,9425
"2024-11-27 00:00:00.000 UTC",25006,10223
"2024-11-28 00:00:00.000 UTC",23375,9583
"2024-11-29 00:00:00.000 UTC",24127,8560
"2024-11-30 00:00:00.000 UTC",19900,8314
"2024-12-01 00:00:00.000 UTC",18897,7764
"2024-12-02 00:00:00.000 UTC",22536,7845
"2024-12-03 00:00:00.000 UTC",23358,7642
"2024-12-04 00:00:00.000 UTC",18692,7130
"2024-12-05 00:00:00.000 UTC",18062,7568
"2024-12-06 00:00:00.000 UTC",15844,6634
"2024-12-07 00:00:00.000 UTC",14087,5436
"2024-12-08 00:00:00.000 UTC",16002,5542
"2024-12-09 00:00:00.000 UTC",17097,6492
"2024-12-10 00:00:00.000 UTC",18085,6758
"2024-12-11 00:00:00.000 UTC",22349,7296
"2024-12-12 00:00:00.000 UTC",22408,7210
"2024-12-13 00:00:00.000 UTC",19171,6908
"2024-12-14 00:00:00.000 UTC",17580,6266
"2024-12-15 00:00:00.000 UTC",17161,5750
"2024-12-16 00:00:00.000 UTC",21056,7016
"2024-12-17 00:00:00.000 UTC",17985,7023
"2024-12-18 00:00:00.000 UTC",21111,6990
"2024-12-19 00:00:00.000 UTC",20816,7589
"2024-12-20 00:00:00.000 UTC",18781,6984
"2024-12-21 00:00:00.000 UTC",17748,6806
"2024-12-22 00:00:00.000 UTC",17454,6772
"2024-12-23 00:00:00.000 UTC",19431,7137
"2024-12-24 00:00:00.000 UTC",18545,7102
"2024-12-25 00:00:00.000 UTC",13111,6488
"2024-12-26 00:00:00.000 UTC",18002,7906
"2024-12-27 00:00:00.000 UTC",21661,7846
"2024-12-28 00:00:00.000 UTC",22269,7301
"2024-12-29 00:00:00.000 UTC",18525,7341
"2024-12-30 00:00:00.000 UTC",22090,7178
"2024-12-31 00:00:00.000 UTC",16954,6945
"2025-01-01 00:00:00.000 UTC",18211,6921
"2025-01-02 00:00:00.000 UTC",27821,8318
"2025-01-03 00:00:00.000 UTC",33488,9581
"2025-01-04 00:00:00.000 UTC",29548,8643
"2025-01-05 00:00:00.000 UTC",26377,8195
"2025-01-06 00:00:00.000 UTC",30312,9057
"2025-01-07 00:00:00.000 UTC",29023,8957
"2025-01-08 00:00:00.000 UTC",26757,9110
"2025-01-09 00:00:00.000 UTC",26206,9035
"2025-01-10 00:00:00.000 UTC",30565,10069
"2025-01-11 00:00:00.000 UTC",26160,8159
"2025-01-12 00:00:00.000 UTC",23257,8341
"2025-01-13 00:00:00.000 UTC",22007,8258
"2025-01-14 00:00:00.000 UTC",26626,8980
"2025-01-15 00:00:00.000 UTC",24577,8142
"2025-01-16 00:00:00.000 UTC",27161,7746
"2025-01-17 00:00:00.000 UTC",23579,7103
"2025-01-18 00:00:00.000 UTC",20674,10177
"2025-01-19 00:00:00.000 UTC",23730,12349
"2025-01-20 00:00:00.000 UTC",24584,12181
"2025-01-21 00:00:00.000 UTC",23656,10339
"2025-01-22 00:00:00.000 UTC",25781,10799
"2025-01-23 00:00:00.000 UTC",30140,13603
"2025-01-24 00:00:00.000 UTC",29892,12452
"2025-01-25 00:00:00.000 UTC",26429,11041
"2025-01-26 00:00:00.000 UTC",24689,11032
"2025-01-27 00:00:00.000 UTC",24022,11313
"2025-01-28 00:00:00.000 UTC",25445,11210
"2025-01-29 00:00:00.000 UTC",25337,10321
"2025-01-30 00:00:00.000 UTC",27046,11931
"2025-01-31 00:00:00.000 UTC",25960,11035
"2025-02-01 00:00:00.000 UTC",22253,9678
"2025-02-02 00:00:00.000 UTC",17707,9061
"2025-02-03 00:00:00.000 UTC",17901,8531
"2025-02-04 00:00:00.000 UTC",19237,8404
"2025-02-05 00:00:00.000 UTC",21396,8635
"2025-02-06 00:00:00.000 UTC",18768,8123
"2025-02-07 00:00:00.000 UTC",19152,9225
"2025-02-08 00:00:00.000 UTC",15505,7971
"2025-02-09 00:00:00.000 UTC",16254,8916
"2025-02-10 00:00:00.000 UTC",19714,10164
"2025-02-11 00:00:00.000 UTC",20200,9782
"2025-02-12 00:00:00.000 UTC",17881,9130
"2025-02-13 00:00:00.000 UTC",20123,10628
"2025-02-14 00:00:00.000 UTC",16933,8676
"2025-02-15 00:00:00.000 UTC",14762,8013
"2025-02-16 00:00:00.000 UTC",13821,7560
"2025-02-17 00:00:00.000 UTC",13936,7208
"2025-02-18 00:00:00.000 UTC",12303,6824
"2025-02-19 00:00:00.000 UTC",12405,6811
"2025-02-20 00:00:00.000 UTC",12938,6761
"2025-02-21 00:00:00.000 UTC",12655,6766
"2025-02-22 00:00:00.000 UTC",11190,6906
"2025-02-23 00:00:00.000 UTC",9854,5840
"2025-02-24 00:00:00.000 UTC",10549,5475
"2025-02-25 00:00:00.000 UTC",9777,5177
"2025-02-26 00:00:00.000 UTC",9971,5199
"2025-02-27 00:00:00.000 UTC",9498,5247
"2025-02-28 00:00:00.000 UTC",8819,4613
"2025-03-01 00:00:00.000 UTC",7651,4084
"2025-03-02 00:00:00.000 UTC",10074,5051
"2025-03-03 00:00:00.000 UTC",9685,4620
"2025-03-04 00:00:00.000 UTC",8522,4251
"2025-03-05 00:00:00.000 UTC",10095,4824
"2025-03-06 00:00:00.000 UTC",9977,4674
"2025-03-07 00:00:00.000 UTC",8727,5105
"2025-03-08 00:00:00.000 UTC",7958,4246
"2025-03-09 00:00:00.000 UTC",7499,3912
"2025-03-10 00:00:00.000 UTC",7666,4089
"2025-03-11 00:00:00.000 UTC",8287,3941
"2025-03-12 00:00:00.000 UTC",9692,4113
"2025-03-13 00:00:00.000 UTC",8931,3950
"2025-03-14 00:00:00.000 UTC",9978,4034
"2025-03-15 00:00:00.000 UTC",9450,3780
"2025-03-16 00:00:00.000 UTC",8315,3681
"2025-03-17 00:00:00.000 UTC",9610,3870
"2025-03-18 00:00:00.000 UTC",8761,3518
"2025-03-19 00:00:00.000 UTC",9285,3457
"2025-03-20 00:00:00.000 UTC",8286,3410
"2025-03-21 00:00:00.000 UTC",7018,2749
"2025-03-22 00:00:00.000 UTC",6624,2995
"2025-03-23 00:00:00.000 UTC",7138,3419
"2025-03-24 00:00:00.000 UTC",11848,4344
"2025-03-25 00:00:00.000 UTC",11335,3990
"2025-03-26 00:00:00.000 UTC",11331,4267
"2025-03-27 00:00:00.000 UTC",11345,4237
"2025-03-28 00:00:00.000 UTC",9690,4032
"2025-03-29 00:00:00.000 UTC",8466,3426
"2025-03-30 00:00:00.000 UTC",8422,3408
"2025-03-31 00:00:00.000 UTC",9744,3844
"2025-04-01 00:00:00.000 UTC",11087,4242
"2025-04-02 00:00:00.000 UTC",9897,4127
"2025-04-03 00:00:00.000 UTC",8979,3606
"2025-04-04 00:00:00.000 UTC",8666,3628
"2025-04-05 00:00:00.000 UTC",8173,3421
"2025-04-06 00:00:00.000 UTC",7237,3374
"2025-04-07 00:00:00.000 UTC",8598,3660
"2025-04-08 00:00:00.000 UTC",9361,3782
"2025-04-09 00:00:00.000 UTC",11783,4415
"2025-04-10 00:00:00.000 UTC",11073,4182
"2025-04-11 00:00:00.000 UTC",11563,4114
"2025-04-12 00:00:00.000 UTC",11537,4729
"2025-04-13 00:00:00.000 UTC",9927,4040
"2025-04-14 00:00:00.000 UTC",12918,4619
"2025-04-15 00:00:00.000 UTC",13414,4792
"2025-04-16 00:00:00.000 UTC",13121,4848
"2025-04-17 00:00:00.000 UTC",13678,4288
"2025-04-18 00:00:00.000 UTC",10448,4190
"2025-04-19 00:00:00.000 UTC",8944,3784
"2025-04-20 00:00:00.000 UTC",7775,3441
"2025-04-21 00:00:00.000 UTC",9915,4415
"2025-04-22 00:00:00.000 UTC",12379,4598
"2025-04-23 00:00:00.000 UTC",12695,4654
"2025-04-24 00:00:00.000 UTC",2776,1549